abstract,relevance
"1. J Agric Food Chem. 2007 Jun 27;55(13):5156-66. doi: 10.1021/jf070467u. Epub
2007  Jun 6.

Polyphenol composition and antioxidant activity in strawberry purees; impact of 
achene level and storage.

Aaby K(1), Wrolstad RE, Ekeberg D, Skrede G.

Author information:
(1)Matforsk AS, Norwegian Food Research Institute, Osloveien 1, N-1430 Aas, 
Norway. kjersti.aaby@matforsk.no

In this study the impact of achenes on polyphenolic compounds, ascorbic acids, 
and antioxidant activities in strawberry purees at production and after storage 
at 6 and 22 degrees C for 8 and 16 weeks was investigated. Strawberry purees 
were made from flesh, berry, and achene-enriched homogenate and contained 0, 
1.2, and 2.9% achenes, respectively. At production, strawberry purees made from 
flesh contained more anthocyanins, p-coumaroyl glycosides, and ascorbic acids, 
whereas increasing achene levels caused increasing levels of ellagic acid 
derivatives, proanthocyanidins, flavonols, total phenolics (TP), and antioxidant 
activities. In addition, the anthocyanins, TP, and ferric reducing ability power 
(FRAP) in purees with more achenes were better retained during storage. Ascorbic 
acids and anthocyanins declined rapidly during storage, whereas other 
polyphenols and antioxidant activities were more stable; that is, the 
contributions from anthocyanins and ascorbic acids to TP and antioxidant 
activities decreased. The findings that achenes contributed significantly to 
polyphenol content and stability of strawberry purees may be interesting in a 
nutritional and, thus, commercial, perspective.

DOI: 10.1021/jf070467u
PMID: 17550269 [Indexed for MEDLINE]",1
"1. J Agric Food Chem. 2003 Apr 9;51(8):2174-80. doi: 10.1021/jf021043x.

Composition and stability of anthocyanins in blue-grained wheat.

Abdel-Aal el-SM(1), Hucl P.

Author information:
(1)Food Research Program, Agriculture and Agri-Food Canada, Guelph, Ontario, 
Canada. abdelaale@agr.gc.ca

Wheat grain is recognized as a good source of potentially health-enhancing 
components such as dietary fiber, phenolics, tocopherols, and carotenoids. 
Anthocyanins, another group of bioactive compounds, are found in blue and purple 
wheat grains. In the present study, a blue aleurone spring wheat line ""Purendo 
38"" with relatively high content of total anthocyanins was used to investigate 
the composition and stability of anthocyanins over three crop years. Commercial 
cultivars of purple (Konini) and red (Katepwa) wheats were included in the 
study. Separation of anthocyanins by high-performance liquid chromatography 
(HPLC) showed that each wheat had a distinct anthocyanin profile. Four major 
anthocyanins were separated from blue wheat extracts as compared to five 
anthocyanins in purple wheat. Cyanidin 3-glucoside was the predominant 
anthocyanin in purple wheat, whereas it was the second major anthocyanin in blue 
wheat. The predominant anthocyanin in blue wheat, making up approximately 41% of 
the total anthocyanin content, remains to be structurally unidentified. Blue 
wheat anthocyanins were thermally most stable at pH 1. Their degradation was 
slightly lower at pH 3 as compared to pH 5. Increasing the temperature from 65 
to 95 degrees C increased degradation of blue wheat anthocyanins. Addition of 
SO(2) during heating of blue wheat had a stabilizing effect on anthocyanin 
pigments. The optimal SO(2) concentrations were 500-1000 ppm for whole meals and 
1000-3000 ppm for isolated anthocyanins. Further studies are underway to 
identify and verify individual anthocyanins in blue wheat and their potential 
end uses.

DOI: 10.1021/jf021043x
PMID: 12670152 [Indexed for MEDLINE]",1
"1. J Agric Food Chem. 2006 Jun 28;54(13):4696-704. doi: 10.1021/jf0606609.

Anthocyanin composition in black, blue, pink, purple, and red cereal grains.

Abdel-Aal el-SM(1), Young JC, Rabalski I.

Author information:
(1)Food Research Program, Agriculture and Agri-Food Canada, 93 Stone Road West, 
Guelph, Ontario, Canada N1G 5C9. abdelaale@agr.gc.ca

Anthocyanin pigments from a wide variety of edible and ornamental black, blue, 
pink, purple, red, and white wheat, barley, corn, rice, and wild rice were 
identified and quantified to evaluate their potential as natural colorants or 
functional food ingredients. The total anthocyanin contents varied significantly 
and exhibited a range of 7-3276 microg/g. Some grains, such as red rice and 
black rice, contained a limited number of pigments, whereas others, such as 
blue, pink, purple, and red corns, had complex anthocyanin profiles. Of the 42 
anthocyanin compounds observed, 9 were characterized by comparison of the 
spectroscopic and chromatographic properties with those of authentic standards. 
The remaining compounds were tentatively identified on the basis of 
spectroscopic properties and electrospray ionization mass spectra. The most 
abundant anthocyanins were cyanidin 3-glucoside in black and red rices and in 
blue, purple, and red corns, pelargonidin 3-glucoside in pink corn, and 
delphinidin 3-glucoside in blue wheat.

DOI: 10.1021/jf0606609
PMID: 16787017 [Indexed for MEDLINE]",1
"1. J Agric Food Chem. 1999 Oct;47(10):4184-8. doi: 10.1021/jf990317m.

HPLC method for the quantification of procyanidins in cocoa and chocolate 
samples and correlation to total antioxidant capacity.

Adamson GE(1), Lazarus SA, Mitchell AE, Prior RL, Cao G, Jacobs PH, Kremers BG, 
Hammerstone JF, Rucker RB, Ritter KA, Schmitz HH.

Author information:
(1)Analytical and Applied Sciences Group, Mars, Incorporated, 800 High Street, 
Hackettstown, New Jersey 07840, USA.

Monomeric and oligomeric procyanidins present in cocoa liquors and chocolates 
were separated and quantified in four different laboratories using a 
normal-phase high-performance liquid chromatography (HPLC) method with 
fluorescence detection. Procyanidin standards through decamers were obtained by 
extraction from cocoa beans, enrichment by Sephadex LH-20 gel permeation 
chromatography, and final purification by preparative normal-phase HPLC. The 
purity of each oligomeric fraction was assessed using HPLC coupled to mass 
spectrometry. A composite standard was then prepared, and calibration curves 
were generated for each oligomeric class using a quadratic fit of area sum 
versus concentration. Results obtained by each of the laboratories were in close 
agreement, which suggests this method is reliable and reproducible for 
quantification of procyanidins. Furthermore, the procyanidin content of the 
samples was correlated to the antioxidant capacity measured using the ORAC assay 
as an indicator for potential biological activity.

DOI: 10.1021/jf990317m
PMID: 10552788 [Indexed for MEDLINE]",1
"1. Am J Clin Nutr. 1991 Dec;54(6):1093-100. doi: 10.1093/ajcn/54.6.1093.

Urinary excretion of lignans and isoflavonoid phytoestrogens in Japanese men and 
women consuming a traditional Japanese diet.

Adlercreutz H(1), Honjo H, Higashi A, Fotsis T, Hämäläinen E, Hasegawa T, Okada 
H.

Author information:
(1)Department of Clinical Chemistry, University of Helsinki, Meilahti Hospital, 
Finland.

Epidemiologic studies revealed low mortality in hormone-dependent cancer in 
Japanese women and men consuming a traditional diet. We previously found that 
certain diphenolic food components, lignans and isoflavonoids, which are 
converted to biologically active hormone-like substances by intestinal 
microflora, may be cancer-protective agents. Therefore, we studied urinary 
excretion of these compounds (enterolactone, enterodiol, daidzein, equol, and 
O-desmethylangolensin) in 10 women and 9 men in a rural village south of Kyoto, 
Japan. The subjects consumed a typical low-fat diet with much rice and soy 
products, fish, and vegetables. An isotope-dilution gas chromatographic-mass 
spectrometric method was used for the assays. The urinary excretion of lignans 
was low but that of the isoflavonoids was very high. The excretion of 
isoflavonoids correlated with soybean-product intake. The low mortality in 
breast and prostate cancer of Japanese women and men, respectively, may be due 
to the high intake of soybean products.

DOI: 10.1093/ajcn/54.6.1093
PMID: 1659780 [Indexed for MEDLINE]",1
"1. Plant Foods Hum Nutr. 2025 Oct 30;80(4):185. doi: 10.1007/s11130-025-01428-2.

Differences and Similarities Between the Carbohydrates, Lipids, and Phenolic 
Compounds in Sorghum and Maize Grains Used for Popping, Implications for Human 
Nutrition and Health.

Cabrera-Ramírez ÁH(1), Villamiel M(2), Montilla A(2), López-Revenga P(2), 
Morales-Sánchez E(3), Gaytán-Martínez M(4).

Author information:
(1)Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de 
Jalisco, A.C. Parque Científico Tecnológico de Yucatán, Sierra Papacal-Chuburná, 
Km 5.5 Carretera, Chuburná, Yucatán, 97302, Mérida, Mexico.
(2)Grupo de Química y Funcionalidad de Carbohidratos y Derivados, Instituto de 
Investigación en Ciencias de la Alimentación (CIAL) (CSIC-UAM) CEI (CSIC+UAM), 
Nicolás Cabrera, 9, Campus de la Universidad Autónoma de Madrid, Madrid, 28049, 
Spain.
(3)Instituto Politécnico Nacional, CICATA-IPN Unidad Querétaro, Cerro Blanco No. 
141, Col. Colinas del Cimatario, Santiago de Querétaro, C.P. 76090, Querétaro, 
México.
(4)Posgrado en Ciencia y Tecnología de los Alimentos, Research and Graduate 
Studies in Food Science, School of Chemistry, Universidad Autónoma de Querétaro, 
Centro Universitario, Sierra Papacal-Chuburná, C.P. 76010, México. 
marcelagaytanm@yahoo.com.mx.

Maize and sorghum represent economic, social, and nutritional significance 
worldwide. This work evaluated the physicochemical properties, carbohydrate, and 
lipids profile, as well as nutraceutical properties of sorghum and maize 
varieties used for obtaining popped grains. Proximate composition, carbohydrate 
profiles, fatty acids, and phenolic compounds and antioxidant capacity were 
evaluated. Sorghum and maize shared traits, but white sorghum had higher amylose 
(27%) while Palomero maize 2 had the lowest (18%). Sucrose accounted for 87% of 
the low molecular weight carbohydrates (LMWC), followed by raffinose (up to 10%) 
and fructose (up to 7%). As for monomeric carbohydrates, maize contained more 
xylose and arabinose, while sorghum had a higher glucose content. The fatty acid 
profile was similar among varieties, but maize show high contents of total, 
unsaturated, and saturated fatty acids. Conversely, red sorghum exhibited 
significantly higher levels of palmitoleic and cis-vaccenic acids compared to 
the other varieties. Red sorghum showed the highest content of phenolic 
compounds, including free and bound phenols, condensed and hydrolyzed tannins, 
flavonoids (bound), and antioxidant capacity (ABTS and DPPH). While Palomero 
maize 2 exhibited a higher proportion of free flavonoids. These findings provide 
valuable information for selecting and using these varieties in different 
agricultural and industrial sectors.

© 2025. The Author(s), under exclusive licence to Springer Science+Business 
Media, LLC, part of Springer Nature.

DOI: 10.1007/s11130-025-01428-2
PMID: 41162736 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Competing Interests: The authors 
declare no competing interests.",1
"1. J Agric Food Chem. 2005 Mar 23;53(6):2297-306. doi: 10.1021/jf048456d.

Phytochemicals and antioxidant activity of milled fractions of different wheat 
varieties.

Adom KK(1), Sorrells ME, Liu RH.

Author information:
(1)Department of Food Science, Cornell University, Ithaca, New York 14853-7201, 
USA.

The health-promoting effects of whole-grain consumption have been attributed in 
part to their unique phytochemical contents and profiles that complement those 
found in fruits and vegetables. Wheat is an important component of the human 
diet; however, little is known about the phytochemical profiles and total 
antioxidant activities of milled fractions of different wheat varieties. The 
objectives of this study were to investigate the distribution of phytochemicals 
(total phenolics, flavonoids, ferulic acid, and carotenoids) and to determine 
hydrophilic and lipophilic antioxidant activity in milled fractions (endosperm 
and bran/germ) of three different wheat varieties, two of which were grown in 
two environments. Grain samples of each of the wheat varieties were milled into 
endosperm and bran/germ fractions. Each fraction was extracted and analyzed for 
total phenolics, ferulic acid, flavonoids, carotenoid contents, and hydrophilic 
and lipophilic antioxidant activities. Total phenolic content of bran/germ 
fractions (2867-3120 micromol of gallic acid equiv/100 g) was 15-18-fold higher 
(p < 0.01) than that of respective endosperm fractions. Ferulic acid content 
ranged from 1005 to 1130 micromol/100 g in bran/germ fractions and from 15 to 21 
micromol/100 g in the endosperm fractions. The bran/germ fraction flavonoid 
content was 740-940 micromol of catechin equiv/100 g. On average, bran/germ 
fractions of wheat had 4-fold more lutein, 12-fold more zeaxanthin, and 2-fold 
more beta-cryptoxanthin than the endosperm fractions. Hydrophilic antioxidant 
activity of bran/germ samples (7.1-16.4 micromol of vitamin C equiv/g) was 
13-27-fold higher than that of the respective endosperm samples. Similarly, 
lipophilic antioxidant activity was 28-89-fold higher in the bran/germ fractions 
(1785-4669 nmol of vitamin E equiv/g). Hydrophilic antioxidant activity 
contribution to the total antioxidant activity (hydrophilic + lipophilic) was 
>80%. In whole-wheat flour, the bran/germ fraction contributed 83% of the total 
phenolic content, 79% of the total flavonoid content, 51% of the total lutein, 
78% of the total zeaxanthin, 42% of the total beta-cryptoxanthin, 85% of the 
total hydrophilic antioxidant activity, and 94% of the total lipophilic 
antioxidant activity. Our results showed that different milled fractions of 
wheat have different profiles of both hydrophilic and lipophilic phytochemicals. 
These findings provide information necessary for evaluating contributions to 
good health and disease prevention from whole-wheat consumption.

DOI: 10.1021/jf048456d
PMID: 15769171 [Indexed for MEDLINE]",1
"1. J Agric Food Chem. 2010 Sep 22;58(18):10101-8. doi: 10.1021/jf102222t.

Evaluation of phenolic profile and antioxidant properties of Pardina lentil as 
affected by industrial dehydration.

Aguilera Y(1), Dueñas M, Estrella I, Hernández T, Benitez V, Esteban RM, 
Martín-Cabrejas MA.

Author information:
(1)Instituto de Ciencias de la Alimentación (CIAL), Departamento de Química 
Agrícola, Facultad de Ciencias, C/Nicolás Cabrera 9, Campus Universidad Autónoma 
de Madrid (UAM), 28049-Madrid, Spain.

This study presents the effects of soaking, cooking, and industrial dehydration 
treatments on phenolic profile and also on antioxidant properties in Pardina 
lentil. HPLC-PAC and HPLC-MS (ESI) analysis identified a total of 35 phenolic 
compounds in raw and processed lentil flours, corresponding to catechins and 
procyanidins (69% of the total of identified phenolic compounds), flavonols 
(17%), flavones, and flavanones (5%), and hydroxybenzoic and hydroxycinnamic 
compounds (5 and 4%, respectively). During the industrial process, catechins and 
procyanidins, flavonols, flavones, and flavanones decreased, while 
hydroxybenzoic compounds exhibited an important increase. In addition, raw 
lentils showed high values of the antioxidant activity (66.97 μmol Trolox/g); 
although the thermal processing promotes decreased, the levels of antioxidant 
activity were still relevant. Thus, the significant occurrence of bioactive 
phenolic compounds along with the interesting antioxidant capacity of dehydrated 
lentil flours make them useful for daily inclusion in the human diet as 
ready-to-use for special meals to specific populations.

DOI: 10.1021/jf102222t
PMID: 20735138 [Indexed for MEDLINE]",1
"1. Molecules. 2020 Oct 16;25(20):4757. doi: 10.3390/molecules25204757.

Potential Beneficial Effects of Extra Virgin Olive Oils Characterized by High 
Content in Minor Polar Compounds in Nephropathic Patients: A Pilot Study.

Romani A(1), Bernini R(2), Noce A(3), Urciuoli S(1), Di Lauro M(3), Pietroboni 
Zaitseva A(3), Marrone G(3)(4), Di Daniele N(3).

Author information:
(1)PHYTOLAB (Pharmaceutical, Cosmetic, Food Supplement, Technology and 
Analysis), DiSIA, University of Florence, Via Ugo Schiff 6, Sesto Fiorentino, 
50019 Florence, Italy.
(2)Department of Agriculture and Forest Sciences (DAFNE), University of Tuscia, 
Via San Camillo de Lellis, 01100 Viterbo, Italy.
(3)UOC of Internal Medicine-Center of Hypertension and Nephrology Unit, 
Department of Systems Medicine, University of Rome Tor Vergata, Via Montpellier 
1, 00133 Rome, Italy.
(4)PhD School of Applied Medical, Surgical Sciences, University of Rome Tor 
Vergata, Via Montpellier 1, 00133 Rome, Italy.

Extra virgin olive oil (EVOO) is a lipid food, which constitutes a pillar of the 
Mediterranean diet. A high number of scientific data have demonstrated that it 
exerts a variety of beneficial effects on human health due to its peculiar 
chemical composition including fatty acids (98-99%) and other active compounds 
even if found in a very low percentage (1-2%). Among them, minor polar compounds 
(MCPs), represented mainly by phenolic compounds, are relevant for their healthy 
properties, as stated by the European Food Safety Authority's (EFSA) claims. In 
this paper, we described the results obtained from a pilot in vivo study, 
focused for the first time on the evaluation of the possible beneficial effects 
of two EVOOs on chronic kidney disease (CKD) patients after the consumption of 
40 mL per day for 9 weeks. The selected EVOOs, traced in the production chain, 
and characterized by High-Performance Liquid Chromatography (HPLC-DAD-MS) 
analysis, resulted rich in MCPs and satisfied the EFSA's claim for their content 
of hydroxytyrosol and derivatives. The results obtained by this in vivo study 
appear to highlight the potential beneficial role in CKD patients of these EVOOs 
and are promising for future studies.

DOI: 10.3390/molecules25204757
PMCID: PMC7587576
PMID: 33081292 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest.",1
"1. J Agric Food Chem. 2005 Sep 21;53(19):7592-9. doi: 10.1021/jf050579q.

Comparison of antioxidant activity, anthocyanins, carotenoids, and phenolics of 
three native fresh and sun-dried date (Phoenix dactylifera L.) varieties grown 
in Oman.

Al-Farsi M(1), Alasalvar C, Morris A, Baron M, Shahidi F.

Author information:
(1)Plant Research Center, Ministry of Agriculture and Fisheries, Al-Khoud, 
Muscat, Oman.

Fresh and sun-dried dates of three native varieties from Oman, namely, Fard, 
Khasab, and Khalas, were examined for their antioxidant activity and total 
contents of anthocyanins, carotenoids, and phenolics, as well as free and bound 
phenolic acids. All results are expressed as mean value +/- standard deviation 
(n = 3) on a fresh weight basis. Fresh date varieties were found to be a good 
source of antioxidants (11687-20604 micromol of Trolox equiv/g), total contents 
of anthocyanins (0.24-1.52 mg of cyanidin 3-glucoside equiv/100 g), carotenoids 
(1.31-3.03 mg/100 g), phenolics (134-280 mg of ferulic acid equiv/100 g), free 
phenolic acids (2.61-12.27 mg/100 g), and bound phenolic acids (6.84-30.25 
mg/100 g). A significant (p < 0.05) amount of antioxidants and carotenoids was 
lost after sun-drying of dates, whereas the total content of phenolics and free 
and bound phenolic acids increased significantly (p < 0.05). Anthocyanins were 
detected only in fresh dates. Date varieties had different levels and patterns 
of phenolic acids. Four free phenolic acids (protocatechuic acid, vanillic acid, 
syringic acid, and ferulic acid) and nine bound phenolic acids (gallic acid, 
protocatechuic acid, p-hydroxybenzoic acid, vanillic acid, caffeic acid, 
syringic acid, p-coumaric acid, ferulic acid, and o-coumaric acid) were 
tentatively identified. Of the date varieties studied, Khalas, which is 
considered to be premium quality, had higher antioxidant activity, total 
carotenoids, and bound phenolic acids than other varieties. These results 
suggest that all date varieties serve as a good source of natural antioxidants 
and could potentially be considered as a functional food or functional food 
ingredient, although some of their antioxidant constituents are lost during 
sun-drying.

DOI: 10.1021/jf050579q
PMID: 16159191 [Indexed for MEDLINE]",1
