pmid,abstract
41204822,"1. Cell Cycle. 2025 Nov 8:1-23. doi: 10.1080/15384101.2025.2583289. Online ahead
of  print.

Exosomes in hepatocellular carcinoma: involvement in reprogramming the tumor 
microenvironment for immune evasion, metastasis, angiogenesis, and drug 
resistance.

Ghasemian-Irani M(1)(2), Babaei S(1)(2), Kazemi T(1)(2).

Author information:
(1)Department of Immunology, Faculty of Medicine, Tabriz University of Medical 
Sciences, Tabriz, Iran.
(2)Immunology Research Center, Tabriz University of Medical Sciences, Tabriz, 
Iran.

Hepatocellular carcinoma (HCC) is a highly aggressive liver cancer, and its 
progression is significantly influenced by the tumor microenvironment (TME). 
Tumor-derived exosomes (TEXs), an important component of the TME, significantly 
influence tumor growth by regulating immune responses, facilitating metastasis, 
and enhancing resistance to therapy. These extracellular vesicles (EVs) 
transport bioactive substances, such as proteins, lipids, and nucleic acids that 
promote interaction between cells in the TME. Recent research indicates that 
HCC-derived exosomes can inhibit immune cell activity, specifically in T cells, 
thus creating an immunosuppressive TME that facilitates tumor immune escape. 
They also augment metastatic capability by restructuring the extracellular 
matrix and promoting angiogenesis. Moreover, HCC-derived exosomes have been 
associated with developing resistance to drug therapy by transferring molecules 
such as apoptotic signals and oncogenic microRNAs, circRNAs and lncRNA. 
Understanding how HCC-derived exosomes affect immune modulation, metastasis, and 
drug resistance could yield innovative therapeutic targets to enhance therapy 
outcomes. This review focuses on recent research on the diverse functions of 
TEXs in HCC progression.

DOI: 10.1080/15384101.2025.2583289
PMID: 41204822"
41204804,"1. Int J Environ Health Res. 2025 Nov 8:1-12. doi: 10.1080/09603123.2025.2586625.
 Online ahead of print.

Glycyrrhiza glabra L. suppress the proliferation of non-small cell lung cancer 
by inducing necrosis rather than apoptosis despite increasing bax level.

Yumrutaş Ö(1), Yumrutaş P(2), Martinez JL(3), Pérez GA(4), Korkmaz M(5), Escobar 
J(6), Taşdemir D(7), Rios M(8), Parlar A(9).

Author information:
(1)Department of Medical Biology, Faculty of Medicine, University of Adiyaman, 
Adiyaman, Turkey.
(2)Department of Respiratory Disease and Cancer Biology, Faculty of Medicine, 
Gaziantep University, Gaziantep, Turkey.
(3)Departamento de Ingeniería Metalurgica, Facultad de Ingenieria, University of 
Santiago de Chile, Santiago ,Chile.
(4)Departamento de Química, Facultad de Ciencias Básicas, Universidad Del 
Atlántico, Barranquilla, Colombia.
(5)Department of Medical Biology, Faculty of Medicine, Gaziantep Islam Science 
and Technology University, Gaziantep, Turkey.
(6)Laboratorio de Química Biológica, Facultad de Ciencias, Pontificia 
Universidad Católica de Valparaíso, Valparaíso, Chile.
(7)Department of Medical Biochemistry, Faculty of Medicine, Gaziantep 
University, Gaziantep, Turkey.
(8)Departamento de Biología, Facultad de Química Y Biología, Universidad de 
Santiago de Chile, Santiago, Chile.
(9)Department of Medical Pharmacology, Faculty of Medicine, Adiyaman University, 
Adiyaman, Turkey.

Lung cancer remains the leading cause of cancer-related mortality worldwide, 
highlighting the urgent need for the development of novel therapeutic agents. 
Glycyrrhiza glabra, a medicinally significant plant, is known for its rich 
composition of diverse phytochemicals. However, its role in the induction of 
apoptosis in lung cancer cells has not been well elucidated. The present study 
aimed to evaluate the apoptosis-associated cytotoxic and antiproliferative 
effects of Glycyrrhiza glabra methanol extract (GGME) on non-small cell lung 
cancer (A549) cells. The viability of GGME-treated A549 cells was assessed using 
an MTT assay, which revealed a significant antiproliferative effect at 200 µg/ml 
(p < 0.05). Morphological changes were observed via phase-contrast inverted 
microscopy. To elucidate the mode of cell death, Annexin V/PI staining was 
performed, and the mRNA levels of the pro-apoptotic Bax and anti-apoptotic Bcl-2 
genes were quantified by real-time PCR. Interestingly, while Bax expression 
increased 4-fold (p < 0.01) compared to the control, Bcl-2 levels remained 
unchanged. Despite this pro-apoptotic shift in gene expression, the cells 
predominantly underwent necrotic cell death rather than apoptosis. Furthermore, 
LC-MS/MS analysis identified vanillic acid, fumaric acid, syringic acid, and 
thymoquinone as the major compounds in GGME. In conclusion, GGME exerts a 
antiproliferative effect primarily through necrosis rather than apoptosis.

DOI: 10.1080/09603123.2025.2586625
PMID: 41204804"
41204791,"1. Cancer Med. 2025 Nov;14(21):e71372. doi: 10.1002/cam4.71372.

A Novel Nomogram to Predict Pathological Complete Response in Breast Cancer 
Patients and Identify Candidates Who Might Omit Surgery: A Large Cohort Study.

Ye K(1), Liao X(2), Yang W(1), Weng J(1), Dai Y(3), Chen X(4), Liu Y(5), Du 
K(3).

Author information:
(1)Department of Pathology, Zhangzhou Affiliated Hospital of Fujian Medical 
University, Zhangzhou, China.
(2)Department of Pathology, Sapporo Medical University, Sapporo, Japan.
(3)Department of Radiation Oncology, Fujian Medical University Xiamen Humanity 
Hospital, Xiamen, China.
(4)Department of Pathology, Fujian Medical University Xiamen Humanity Hospital, 
Xiamen, China.
(5)Department of Pathology, Zhangzhou Traditional Chinese Medical Hospital, 
Zhangzhou, China.

PURPOSE: To establish and validate a nomogram for predicting pathological 
complete response (pCR) after neoadjuvant therapy (NAT) in breast cancer (BC) 
patients, aiming to identify subgroups potentially suitable for non-surgical 
management.
METHODS: Between 2010 and 2015, 4402 BC patients (3037 surgery, 1365 
non-surgery) were extracted from the Surveillance, Epidemiology, and End Results 
(SEER) database, with external validation in 339 BC patients from our hospital. 
Logistic regression identified pCR predictors and a nomogram model was 
constructed. Propensity score matching (PSM) was applied to minimize the effect 
of the imbalance of the prognostic factors between the surgery group and the 
non-surgery group.
RESULTS: Univariable and multivariable analyses revealed that age, marital 
status, T stage, N stage, differentiation grade, hormone receptor (HR) status, 
human epidermal growth factor receptor 2 (HER2) status and chemotherapy were 
significant predictors of pCR in the surgery group (all p < 0.05). The area 
under the receiver operating characteristic curve (AUC) for predicting pCR was 
0.756 (95% CI: 0.736-0.776), 0.717 (95% CI: 0.681-0.754), and 0.744 (95% CI: 
0.687-0.800) in the training, internal validation, and external validation sets, 
respectively. Non-surgery patients were stratified into high (> 375), medium 
(162.5-375), and low (< 162.5) nomogram score groups, with 5-year OS rates of 
70.7%, 49.2%, and 29.2% (p < 0.05). After PSM, 358 pairs of patients were 
included to compare 5-year OS between the surgery group and the non-surgery 
group, and the results showed that the 5-year OS of patients stratified by 
high-score group, medium-score group and low-score group between the surgery 
group and the non-surgery group were 85.4% vs. 72.8%, 78.3% vs. 59.8% and 79.3% 
vs. 20.0% (all p < 0.05).
CONCLUSION: We successfully established a nomogram for pCR in BC patients. Based 
on this predictive model, patients with higher scores may represent potential 
candidates for non-surgical therapeutic approaches, warranting further 
investigation in future studies.

© 2025 The Author(s). Cancer Medicine published by John Wiley & Sons Ltd.

DOI: 10.1002/cam4.71372
PMID: 41204791 [Indexed for MEDLINE]"
41204774,"1. IUBMB Life. 2025 Nov;77(11):e70075. doi: 10.1002/iub.70075.

4-Methylumbelliferone Sensitizes Breast Cancer Spheroids to Chemotherapeutic 
Treatment With Epirubicin: New Perspectives for Pharmacological Repositioning.

Vitale DL(1)(2), Icardi A(1)(2), Rosales P(1)(2), Morán C(1)(2), Sevic I(1)(2), 
Alaniz LD(1)(2).

Author information:
(1)Laboratorio de Microambiente Tumoral - Centro de Investigaciones Básicas y 
Aplicadas (CIBA) - Universidad Nacional del Noroeste de la Provincia de Buenos 
Aires, Junín, Argentina.
(2)Centro de Investigaciones y Transferencia del Noroeste de la Provincia de 
Buenos Aires (CITNOBA) - UNNOBA-UNSAdA-CONICET, Junín, Argentina.

Chemoresistance remains a significant hurdle in breast cancer treatment. To 
address this, we explored the therapeutic potential of combining epirubicin, an 
anthracycline commonly associated with the development of resistance in cancer 
cells and with known cytotoxic effects, with 4-methylumbelliferone, a 
plant-derived coumarin. Our results demonstrated a coactive enhancement of 
epirubicin efficacy when this combination was applied to 3D breast cancer 
models, irrespective of molecular subtype. Mechanistically, 
4-methylumbelliferone inhibits synthesis of hyaluronan, a key component of the 
tumor microenvironment that promotes tumor growth and metastasis. By disrupting 
hyaluronan production, this compound facilitated drug penetration into tumor 
spheroids and reduced the expression of drug efflux pumps, thereby increasing 
intracellular drug accumulation. Consequently, the combined treatment led to a 
significant reduction in cell viability and promotion of cell death. Our 
findings suggest that targeting hyaluronan metabolism in conjunction with 
conventional chemotherapy offers a promising strategy to overcome drug 
resistance in breast cancer. This drug repositioning approach not only improves 
treatment efficacy but also highlights the potential of targeting the tumor 
microenvironment to enhance cancer therapy. Further studies are warranted to 
elucidate the underlying mechanisms and to evaluate the clinical translation of 
this combination therapy.

© 2025 International Union of Biochemistry and Molecular Biology.

DOI: 10.1002/iub.70075
PMID: 41204774 [Indexed for MEDLINE]"
41204772,"1. Am J Med Genet A. 2025 Nov 8:e64305. doi: 10.1002/ajmg.a.64305. Online ahead
of  print.

Malignant Phyllodes Tumor of the Breast in a Young Adult With Neurofibromatosis 
Type 1.

Okumura A(1), Fujii K(2), Kurahashi H(1), Nakano S(2).

Author information:
(1)Department of Pediatrics, Aichi Medical University, Nagakute, Japan.
(2)Department of Surgery, Division of Breast and Endocrine Surgery, Aichi 
Medical University, Nagakute, Japan.

Neurofibromatosis 1 (NF1) is caused by pathogenic variants of the NF1 gene and 
increases the risk of tumor development. Phyllodes tumors are rare 
fibroepithelial neoplasms of the breast, for which the malignant forms exhibit 
high recurrence and metastasis rates. Herein, we report the case of a 
19-year-old female with NF1 who developed a malignant phyllodes tumor of the 
breast. She noticed a breast mass 3 years before referral, which was diagnosed 
as a fibroadenoma. However, rapid tumor growth was observed 3 months prior to 
her hospital visit. Magnetic resonance imaging of the breast revealed a 9-cm 
tumor, and lumpectomy confirmed the malignancy. Recurrence necessitated a total 
mastectomy and pectoralis major resection. One year after surgery, metastases 
were detected in the left axillary lymph nodes and femoral head, requiring 
surgical intervention and denosumab treatment. No relapses were observed after 
18 months. Comprehensive genomic profiling revealed a germline NF1 nonsense 
variant with loss of heterozygosity (LOH) in tumor cells. Additional somatic 
variants of TP53 and SMARCB1 have been identified. The TP53 variant is listed in 
the Catalogue of Somatic Variants in Cancer as a breast cancer-associated 
variant, whereas a splice site variant in SMARCB1 and LOH suggests a loss of 
SMARCB1 function. This case highlights the increased risk of malignancy in NF1 
patients and underscores the need for comprehensive genomic profiling.

© 2025 Wiley Periodicals LLC.

DOI: 10.1002/ajmg.a.64305
PMID: 41204772"
41204766,"1. Cancer Med. 2025 Nov;14(21):e71366. doi: 10.1002/cam4.71366.

Cervical Adenocarcinoma: What's Special About the Long-Term Reproductive and 
Oncological Outcomes of Fertility-Sparing Radical Trachelectomy in It?

Gan J(1), Cao D(1), Zhou H(1), Yu M(1), Wang T(1), Zhang Y(1), Cheng N(1), Peng 
P(1), Yang J(1), Huang H(1), Shen K(1).

Author information:
(1)National Clinical Research Center for Obstetric & Gynecologic Diseases, 
Department of Obstetrics and Gynecology, Peking Union Medical College Hospital, 
Chinese Academy of Medical Sciences & Peking Union Medical College, Peking Union 
Medical College Hospital (Dongdan Campus), Beijing, China.

OBJECTIVE: To present reproductive and oncological outcomes of radical 
trachelectomy (RT) in patients with cervical adenocarcinomas (AC).
METHODS: This retrospective study included 51 patients with cervical AC who 
underwent RT at Peking Union Medical Hospital from January 1, 2005 to June 1, 
2023.
RESULTS: Five patients (9.8%) experienced cervical stenosis following RT, which 
likely occurred in cases of abdominal RT (50%) and virginal prophylactic 
cerclage (33.33%) and those without copper T intrauterine devices during RT 
(20%). In total, 30 patients (58.82%) attempted to conceive, and 11 (36.67%) 
succeeded. Five patients (45.45%) achieved pregnancy with fertility assistance. 
The mean surgery-pregnancy interval was 27 months (range, 17-118). Two preterm 
and two full-term births were achieved. With a median follow-up of 50 months 
(range, 7-238), seven patients (13.73%) experienced recurrence and three (5.88%) 
died. Six of seven patients relapsed beyond the residual cervix. The cancer 
recurrence rate (CRR) was 5.88% for patients with pre-cervical conization and 
17.65% for those with biopsy (p = 0.250); 11.63% had human 
papillomavirus-associated (HPVA) disease and 25% had non-HPVA 
(NHPVA) (p = 0.313). The cancer death rate (CDR) was 4.65% with HPVA and 12.50% 
with NHPVA (p = 0.386); 13.63% had the endogenous type and 0 had the exogenous 
type (p = 0.04). Chemotherapy in patients with risk factors resulted in better 
CRR and CDR than in those without (5.88% vs. 17.65%, 0% vs. 8.82%). The 
cumulative 5-year recurrence-free survival (RFS) and overall survival rates were 
82.03% and 94.39%, respectively.
CONCLUSION: RT in patients with AC led to an acceptable pregnancy rate but a 
higher CRR and lower 5-year RFS. Careful patient selection for RT, combined with 
adjuvant chemotherapy when indicated, is crucial to optimize the balance between 
reproductive and oncological outcomes in AC.

© 2025 The Author(s). Cancer Medicine published by John Wiley & Sons Ltd.

DOI: 10.1002/cam4.71366
PMID: 41204766 [Indexed for MEDLINE]"
41204749,"1. Adv Sci (Weinh). 2025 Nov 7:e10307. doi: 10.1002/advs.202510307. Online ahead
of  print.

Predicting MammaPrint Recurrence Risk from Breast Cancer Pathological Images 
Using a Weakly Supervised Transformer.

Yan C(1), Li L(2)(3)(4), Qian X(3)(4)(5), Ou Y(2)(3)(4), Huang Z(2)(3)(4), Ruan 
Z(1), Xiang W(1), Liu H(2)(3)(4), Liu J(6).

Author information:
(1)Centre for Bioinformatics and Intelligent Medicine, College of Computer 
Science, Nankai University, Tianjin, 300350, China.
(2)The Second Surgical Department of Breast Cancer, Tianjin Medical University 
Cancer Institute & Hospital, National Clinical Research Center for Cancer, 
Tianjin, 300060, China.
(3)Tianjin's Clinical Research Center for Cancer, Tianjin, 300060, China.
(4)Key Laboratory of Breast Cancer Prevention and Therapy, Tianjin Medical 
University, Ministry of Education, Tianjin, 300060, China.
(5)Department of Breast Pathology and Lab, Tianjin Medical University Cancer 
Institute & Hospital, National Clinical Research Center for Cancer, Tianjin, 
300060, China.
(6)State Key Laboratory of Medicinal Chemical Biology, College of Computer 
Science, Nankai University, Tianjin, 300350, China.

Recurrence related to poor prognosis is a leading cause of mortality in patients 
with breast cancer (BC). The MammaPrint (MP) genomic assay is designed to 
stratify recurrence risk and evaluate chemotherapy benefits for early-stage 
HR+/HER2- BC patients. However, MP fails to reveal spatial tumor morphology and 
is limited by high costs. In this study, a BC MP cohort is established and CPMP 
is developed, a weakly supervised agent-attention transformer model, to predict 
MP recurrence risk from annotation-free BC histopathological slides. CPMP 
achieves an AUROC of 0.824 ± 0.03 in predicting MP risk groups. CPMP is further 
leveraged for spatial and morphological analyses to explore histological 
patterns associated with MP risk groups. The model reveals tumor spatial 
localization at the whole-slide level and highlights distinct intercellular 
interaction patterns of MP groups. It also characterizes the diversity in tumor 
morphology and uncovers MP high-specific, low-specific, and colocalized 
morphological phenotypes that differ in quantitative cellular composition. 
Prognostic evaluation in the external cohort exhibits significant stratification 
of distant metastasis risk (HR: 3.14, p-value = 0.0014), underscoring the 
prognostic power of CPMP. These findings demonstrate the capability of CPMP in 
MP risk prediction, offering a flexible supplement to genomic risk assessment in 
early-stage BC.

© 2025 The Author(s). Advanced Science published by Wiley‐VCH GmbH.

DOI: 10.1002/advs.202510307
PMID: 41204749"
41204725,"1. J Adolesc Young Adult Oncol. 2025 Nov 6. doi: 10.1177/21565333251394601.
Online  ahead of print.

Working in This Field and Living in This Field: The Importance of Cancer 
Survivors in the Professional Setting.

Topalian A(1), Baldwin E(2), Panagiotou V(3).

Author information:
(1)Department of Family and Community Medicine, Division of Cancer Survivorship 
and Supportive Services, University of Cincinnati College of Medicine, 
Cincinnati, Ohio, USA.
(2)Blood Cancer United (Formerly The Leukemia & Lymphoma Society), Washington, 
District of Columbia, USA.
(3)Cancer Nation (Formerly the National Coalition for Cancer Survivorship), 
Silver Spring, Maryland, USA.

DOI: 10.1177/21565333251394601
PMID: 41204725"
41204722,"1. Nucleic Acid Ther. 2025 Nov 5. doi: 10.1177/21593337251387423. Online ahead of
 print.

Immunogenicity Risk Assessment for Nucleic Acid Therapeutics: A Comprehensive 
Evaluation for ASO, siRNA, and Nonvaccine mRNA/LNP Therapies by the IQ 
Consortium.

Grudzinska-Goebel J(1), Braun M(1), Chen LZ(2), Gupta S(3), Lohmann S(4), Morais 
P(5), Niu T(6), Tarcsa E(7), Tourdot S(8), Youssef AS(9), Jawa V(10).

Author information:
(1)Preclinical Development, Pharmaceuticals R&D, Bayer AG, Berlin, Germany.
(2)Boehringer Ingelheim Pharmaceuticals, Ridgefield, Connecticut, USA.
(3)Abbvie, Irvine, California, USA.
(4)Roche Pharma Research and Early Development (pRED), Roche Innovation Center 
Munich, Roche Diagnostics GmbH, Penzberg, Germany.
(5)Preclinical Development, Pharmaceuticals R&D, Bayer AG, Wuppertal, Germany.
(6)Quantitative Clinical Pharmacology, Sarepta Therapeutics, Cambridge, 
Massachusetts, USA.
(7)Abbvie Bioresearch Center, Worcester, Massachusetts, USA.
(8)Pfizer, Pharmacokinetics, Dynamics and Metabolism, Andover, Massachusetts, 
USA.
(9)Clinical Pharmacology, Modeling and Simulation, GSK, Collegeville, 
Pennsylvania, USA.
(10)Translational Medicine, Bristol Myers Squibb, Lawrenceville, New Jersey, 
USA.

The emergence of nucleic acid (NA) therapeutics, including antisense 
oligonucleotides (ASOs), small interfering RNAs (siRNAs), which are usually 
delivered directly, and messenger RNAs (mRNAs), which are typically encapsulated 
in lipid nanoparticles (LNPs), marks a transformative era in precision medicine. 
While these therapies offer precise approaches for gene regulation or 
expression, they can trigger unwanted innate and/or adaptive immune responses 
that can either have no significant impact or adversely affect treatment 
efficacy and/or patient safety. Consequently, therapies where an adaptive immune 
response is desired, such mRNA/LNP-based vaccines against infectious diseases or 
cancer are out of scope of this article. In the present work, the Innovation and 
Quality Consortium Nucleic Acids Immunogenicity Working Group examines how the 
various components of NA-based therapies might contribute to their immunogenic 
potential and describes risk mitigation strategies through product design 
adaptations during early development stages. In addition, a comprehensive 
immunogenicity risk assessment framework is described, allowing to effectively 
define a tailored clinical testing strategy for different NA modalities with 
varying immunogenicity (IG) consequences. A streamlined monitoring strategy is 
recommended when minimal impact is expected, whereas extensive testing is 
suggested when safety concerns arise. Overall, these recommendations ensure that 
safe and effective NA-based therapies reach patients with an appropriate 
assessment of the IG potential.

DOI: 10.1177/21593337251387423
PMID: 41204722"
41204717,"1. Acta Biochim Biophys Sin (Shanghai). 2025 Nov 7. doi: 10.3724/abbs.2025204. 
Online ahead of print.

Unveiling the potential role of ACSL1 in colorectal cancer proliferation: a 
novel therapeutic avenue.

Liu J(1), Yao X(1), Chen J(1), Gao Y(1)(2), Gong L(1), Li J(1), Cao D(1)(2), 
Zhao C(2)(3), Gao G(1)(2)(4).

Author information:
(1)Department of Biliary-Pancreatic Surgery, Renji Hospital, Shanghai Jiao Tong 
University School of Medicine, Shanghai 200127, China.
(2)State Key Laboratory of Systems Medicine for Cancer, Shanghai Cancer 
Institute, Renji Hospital, Shanghai Jiao Tong University School of Medicine, 
Shanghai 200127, China.
(3)Shanghai Key Laboratory for Cancer Systems Regulation and Clinical 
Translation, Shanghai Jiading District Central Hospital, Shanghai 201899, China.
(4)Zhangjiang Center for Translational Medicine, Shanghai Biotecan 
Pharmaceuticals Co. Ltd., Shanghai 201204, China.

Aberrant expression of acyl-CoA synthetase long-chain family member 1 (ACSL1) 
occurs in multiple cancer types and is closely linked to patient prognosis. 
Nevertheless, its precise mechanistic role in colorectal cancer (CRC) remains 
poorly understood. In this study, we assess ACSL1 expression in CRC and 
elucidate the molecular mechanisms through which ACSL1 regulates tumor 
proliferation and migration. Our results show that ACSL1 is significantly 
upregulated in CRC and is associated with poor patient survival. Knockdown of 
ACSL1 suppresses CRC cell proliferation both in vitro and in vivo. Furthermore, 
ACSL1 silencing downregulates the JAK2-STAT3 signaling axis. A strong 
correlation also exists between ACSL1 expression and epithelial-mesenchymal 
transition (EMT). Collectively, these findings indicate that ACSL1 is highly 
expressed in CRC tissues and is correlated with poor prognosis. Importantly, our 
study provides the first evidence that the ACSL1-JAK2-STAT3 pathway facilitates 
CRC cell proliferation and migration, highlighting its potential as a 
therapeutic target.

DOI: 10.3724/abbs.2025204
PMID: 41204717"
