id,authors,year_of_publication,title,abbreviation,journal_name,journal_volume,journal_issue,pages,created_at,updated_at      
1216,"Aaby K., Wrolstad R.E., Ekeberg D., Skrede G.",2007,Polyphenol composition and antioxidant activity in strawberry purees  impact of achene level and storage,AABY 2007,Journal of Agricultural and Food Chemistry,55,13,5156-5166,2012-12-01 22:21:08 UTC,2015-04-14 04:25:30 UTC     
1052,"Abd El Mohsen M.M., Kuhnle G., Rechner A.R., Schroeter H., Rose S., Jenner P., Rice-Evans C.A.",2002,Uptake and metabolism of epicatechin and its access to the brain after oral ingestion,ABD EL MOHSEN 2002,Free Radic Biol Med,33,12,1693-702,2015-04-13 21:45:29 UTC,2015-04-14 04:25:30 UTC      
356,"Abdel-Aal E.-S.M., Hucl P.",2003,Composition and stability of anthocyanins in blue-grained wheat,ABDEL-AAL 2003,Journal of Agricultural and Food Chemistry,51,,2174-2180,2015-04-13 21:45:25 UTC,2015-04-14 04:25:30 UTC      
458,"Abdel-Aal E.-S. M., Young C., Rabalski I.",2006,"Anthocyanin composition in black, blue, pink, purple, and red cereal grains",ABDEL-AAL 2006,Journal of Agricultural and Food Chemistry,54,,4696-4704,2006-04-09 12:07:36 UTC,2015-04-14 04:25:31 UTC      
332,"Abril M., Negueruela A.I., Perez C., Juan T., Estopanan G.",2005,Preliminary study of resveratrol content in Aragon red and rose wines,Apr-05,Food Chemistry,92,4,729-736,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
89,"Adamson G.E., Lazarus S.A., Mitchell A.E., Prior R.L., Cao G., Jacobs P.H., Kremers B.G., Hammerstone J.F., Rucker R.B., Ritter K.A., Schmitz H.H.",1999,HPLC method for the quantification of procyanidins in cocoa and chocolate samples and correlation to total antioxidant capacity,ADAMSON 1999,Journal of Agricultural and Food Chemistry,47,10,4184-8,2003-12-05 10:41:49 UTC,2015-04-14 04:25:31 UTC      
1283,"Adefegha S.A., Oboh G.",2011,Enhancement of total phenolics and antioxidant properties of some tropical green leafy vegetables by steam cooking,ADEFEGHA 2011,Journal of Food Processing and Preservation,35,5,615-622,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      
1122,"Adlercreutz H., Honjo H., Higashi A., Fotsis T., Hamalainen E., Hasegawa T., Okada H.",1991,Urinary excretion of lignans and isoflavonoid phytoestrogens in Japanese men and women consuming a traditional Japanese diet,ADLERCREUTZ 1991,Am J Clin Nutr,54,6,1093-100,2011-04-06 23:30:39 UTC,2015-04-14 04:25:33 UTC      
444,"Adom K.K., Liu R.H.",2002,Antioxidant activity of grains,ADOM 2002,Journal of Agricultural and Food Chemistry,50,,6182-6187,2006-04-08 15:42:02 UTC,2015-04-14 04:25:33 UTC      
445,"Adom K.K., Sorrells M.E., Liu R.H.",2005,Phytochemicals and antioxidant activity of milled fractions of different wheat varieties,ADOM 2005,Journal of Agricultural and Food Chemistry,53,,2297-2306,2006-07-08 11:08:15 UTC,2015-04-14 04:25:34 UTC      
802,"Aguilar-Garcia C., Gavino G., Baragano-Mosqueda M., Hevia P., Gavino V.C.",2007,"Correlation of tocopherol, tocotrienol, gamma-oryzanol and total polyphenol content in rice bran with different antioxidant capacity assays",AGUILAR-GARCIA 2007,Food Chemistry,102,,1228-1232,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      
1184,"Aguilera Y., Duenas M., Estrella I., Hernandez T., Benitez V., Esteban R.M., Martin-Cabrejas M.A.",2010,Evaluation of Phenolic Profile and Antioxidant Properties of Pardina Lentil As Affected by Industrial Dehydration,AGUILERA 2010,Journal of Agricultural and Food Chemistry,58,18,10101-1010,2015-04-13 21:45:30 UTC,2015-04-14 04:25:34 UTC      
853,"Akasbi M., Shoeman D.W., Csallany A.S.",1993,High-Performance Liquid-Chromatography of Selected Phenolic-Compounds in Olive Oils,AKASBI 1993,Journal of the American Oil Chemists' Society,70,4,367-370,2015-04-13 21:45:28 UTC,2015-04-14 04:25:35 UTC      
876,"Akitha Devi M.K., Mahendranath G., Sakthivelu G., Giridhar P., Rajasekaran T., Ravishankar G.A.",2009,"Functional attributes of soybean seeds and products, with reference to isoflavone content and antioxidant activity",AKITHA DEVI 2009,Food Chemistry,114,3,771-76,2009-04-06 16:15:43 UTC,2015-04-13 21:45:28 UTC      
839,"Al-Farsi M., Alasalvar C., Morris A., Baron M., Shahidi F.",2005,"Comparison of antioxidant activity, anthocyanins, carotenoids, and phenolics of three native fresh and sun-dried date (Phoenix dactylifera L.) varieties grown in Oman",AL-FARSI 2005,Journal of Agricultural and Food Chemistry,53,19,7592-7599,2015-04-13 21:45:28 UTC,2015-04-14 04:25:36 UTC      
840,"Al-Farsi M., Alasalvar C., Al-Abid M., Al-Shoaily K., Al-Amry M., Al-Rawahy F.",2007,"Compositional and functional characteristics of dates, syrups, and their by-products",AL-FARSI 2007,Food Chemistry,104,3,943-947,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      
1206,"Alajaji S.A., El-Adawy T..A.",2006,Nutritional composition of chickpea (Cicer arietinum L.) as affected by  microwave cooking and other traditional cooking methods,ALAJAJI 2006,Journal of Food Composition and Analysis,19,8,806-812,2015-04-13 21:45:30 UTC,2015-04-13 21:45:30 UTC      
641,"Alamprese C., Pompei C., Scaramuzzi F.",2005,Characterization and antioxidant activity of nocino liqueur,ALAMPRESE 2005,Food Chemistry,90,4,495-502,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
418,"Alasalvar C., Grigor J.M., Zhang D., Quantick P.C., Shahidi F.",2001,"Comparison of volatiles, phenolics, sugars, antioxidant vitamins, and sensory quality of different colored carrot varieties",ALASALVAR 2001,Journal of Agricultural and Food Chemistry,49,3,1410-1416,2006-11-07 09:41:34 UTC,2015-04-14 04:25:37 UTC      
1197,"Alasalvar C., Pelvan E.",2010,Effects of Roasting on Taste-Active Compounds of TurkisH Hazelnut Varieties (Corylus avellana L.),ALASALVAR 2010,Journal of Agricultural and Food Chemistry,58,,8674-8679,2015-04-13 21:45:30 UTC,2015-04-14 04:25:37 UTC      
1217,"Alighourchi H., Barzegar M., Abbasi S.",2008,Anthocyanins characterization of 15 Iranian pomegranate (Punica granatum L.) varieties and their variation after cold storage and pasteurization,ALIGHOURCHI 2008,European Food Research and Technology,227,3,881-887,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      
1218,"Alonso R., Aguirre A., Marzo F.",2000,Effects of extrusion and traditional processing methods on antinutrients and in vitro digestibility of protein and starch in faba and kidney beans,ALONSO 2000,Food Chemistry,68,2,159-165,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      
309,"Alonso A.M., Castro R., Rodriguez M.C., Guillen D.A., Barroso C.G.",2004,Study of the antioxidant power of brandies and vinegars derived from Sherry wines and correlation with their content in polyphenols,ALONSO 2004,Food Research International,37,7,715-721,2005-06-10 09:36:30 UTC,2015-04-13 21:45:24 UTC      
527,"Alonso Garcia A., Cancho Grande B., Simal Gandara J.",2004,Development of a rapid method based on solid-phase extraction and liquid chromatography with ultraviolet absorbance detection for the determination of polyphenols in alcohol-free beers,ALONSO GARCIA 2004_02,Journal of Chromatography A,1054,,175-180,2015-04-13 21:45:26 UTC,2015-04-14 04:25:40 UTC      
109,"Alonso-Salces R.M., Korta E., Barranco A., Berrueta L.A., Gallo B., Vicente F.",2001,Determination of polyphenolic profiles of Basque cider apple varieties using accelerated solvent extraction,ALONSO-SALCES 2001,Journal of Agricultural and Food Chemistry,49,8,3761-7,2003-12-05 10:41:49 UTC,2015-04-14 04:25:40 UTC      
333,"Alonso-Salces R.M., Barranco A., Abad B., Berrueta L.A., Gallo B., Vicente F.",2004,Polyphenolic profiles of Basque cider apple cultivars and their technological properties,ALONSO-SALCES 2004_01,Journal of Agricultural and Food Chemistry,52,10,2938-2952,2015-04-13 21:45:25 UTC,2015-04-14 04:25:40 UTC      
323,"Alonso-Salces R.M., Herrero C., Barranco A., Berrueta L.A., Gallo B., Vicente F.",2005,Classification of apple fruits according to their maturity state by the pattern recognition analysis of their polyphenolic compositions,ALONSO-SALCES 2005,Food Chemistry,93,1,113-123,2005-12-10 16:04:32 UTC,2015-04-13 21:45:25 UTC      
