id,authors,year_of_publication,title,abbreviation,journal_name,journal_volume,journal_issue,pages,created_at,updated_at      ,abstract
1216,"Aaby K., Wrolstad R.E., Ekeberg D., Skrede G.",2007,Polyphenol composition and antioxidant activity in strawberry purees  impact of achene level and storage,AABY 2007,Journal of Agricultural and Food Chemistry,55,13,5156-5166,2012-12-01 22:21:08 UTC,2015-04-14 04:25:30 UTC     ,"1. J Agric Food Chem. 2007 Jun 27;55(13):5156-66. doi: 10.1021/jf070467u. Epub
2007  Jun 6.

Polyphenol composition and antioxidant activity in strawberry purees; impact of 
achene level and storage.

Aaby K(1), Wrolstad RE, Ekeberg D, Skrede G.

Author information:
(1)Matforsk AS, Norwegian Food Research Institute, Osloveien 1, N-1430 Aas, 
Norway. kjersti.aaby@matforsk.no

In this study the impact of achenes on polyphenolic compounds, ascorbic acids, 
and antioxidant activities in strawberry purees at production and after storage 
at 6 and 22 degrees C for 8 and 16 weeks was investigated. Strawberry purees 
were made from flesh, berry, and achene-enriched homogenate and contained 0, 
1.2, and 2.9% achenes, respectively. At production, strawberry purees made from 
flesh contained more anthocyanins, p-coumaroyl glycosides, and ascorbic acids, 
whereas increasing achene levels caused increasing levels of ellagic acid 
derivatives, proanthocyanidins, flavonols, total phenolics (TP), and antioxidant 
activities. In addition, the anthocyanins, TP, and ferric reducing ability power 
(FRAP) in purees with more achenes were better retained during storage. Ascorbic 
acids and anthocyanins declined rapidly during storage, whereas other 
polyphenols and antioxidant activities were more stable; that is, the 
contributions from anthocyanins and ascorbic acids to TP and antioxidant 
activities decreased. The findings that achenes contributed significantly to 
polyphenol content and stability of strawberry purees may be interesting in a 
nutritional and, thus, commercial, perspective.

DOI: 10.1021/jf070467u
PMID: 17550269 [Indexed for MEDLINE]"
1052,"Abd El Mohsen M.M., Kuhnle G., Rechner A.R., Schroeter H., Rose S., Jenner P., Rice-Evans C.A.",2002,Uptake and metabolism of epicatechin and its access to the brain after oral ingestion,ABD EL MOHSEN 2002,Free Radic Biol Med,33,12,1693-702,2015-04-13 21:45:29 UTC,2015-04-14 04:25:30 UTC      ,"1. J Biol Chem. 2018 Dec 21;293(51):19823-19834. doi: 10.1074/jbc.RA118.002326. 
Epub 2018 Oct 25.

Red wine and green tea flavonoids are cis-allosteric activators and competitive 
inhibitors of glucose transporter 1 (GLUT1)-mediated sugar uptake.

Ojelabi OA(1), Lloyd KP(1), De Zutter JK(1), Carruthers A(2).

Author information:
(1)From the Department of Biochemistry and Molecular Pharmacology, Graduate 
School of Biomedical Sciences, University of Massachusetts Medical School, 
Worcester, Massachusetts 01605.
(2)From the Department of Biochemistry and Molecular Pharmacology, Graduate 
School of Biomedical Sciences, University of Massachusetts Medical School, 
Worcester, Massachusetts 01605 anthony.carruthers@umassmed.edu.

The antioxidant- and flavonoid-rich contents of red wine and green tea are 
reported to offer protection against cancer, cardiovascular disease, and 
diabetes. Some studies, however, show that flavonoids inhibit GLUT1-mediated, 
facilitative glucose transport, raising the possibility that their interaction 
with GLUT1 and subsequent downstream effects on carbohydrate metabolism may also 
impact health. The present study explores the structure-function relationships 
of flavonoid-GLUT1 interactions. We find that low concentrations of flavonoids 
act as cis-allosteric activators of sugar uptake, whereas higher concentrations 
competitively inhibit sugar uptake and noncompetitively inhibit sugar exit. 
Studies with heterologously expressed human GLUT1, -3, or -4 reveal that 
quercetin-GLUT1 and -GLUT4 interactions are stronger than quercetin-GLUT3 
interactions, that epicatechin gallate (ECG) is more selective for GLUT1, and 
that epigallocatechin gallate (EGCG) is less GLUT isoform-selective. Docking 
studies suggest that only one flavonoid can bind to GLUT1 at any instant, but 
sugar transport and ligand-binding studies indicate that human erythrocyte GLUT1 
can bind at least two flavonoid molecules simultaneously. Quercetin and EGCG are 
each characterized by positive, cooperative binding, whereas ECG shows negative 
cooperative binding. These findings support recent studies suggesting that GLUT1 
forms an oligomeric complex of interacting, allosteric, alternating access 
transporters. We discuss how modulation of facilitative glucose transporters 
could contribute to the protective actions of the flavonoids against diabetes 
and Alzheimer's disease.

© 2018 Ojelabi et al.

DOI: 10.1074/jbc.RA118.002326
PMCID: PMC6314135
PMID: 30361436 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that they have no conflicts 
of interest with the contents of this article"
356,"Abdel-Aal E.-S.M., Hucl P.",2003,Composition and stability of anthocyanins in blue-grained wheat,ABDEL-AAL 2003,Journal of Agricultural and Food Chemistry,51,,2174-2180,2015-04-13 21:45:25 UTC,2015-04-14 04:25:30 UTC      ,"1. J Agric Food Chem. 2003 Apr 9;51(8):2174-80. doi: 10.1021/jf021043x.

Composition and stability of anthocyanins in blue-grained wheat.

Abdel-Aal el-SM(1), Hucl P.

Author information:
(1)Food Research Program, Agriculture and Agri-Food Canada, Guelph, Ontario, 
Canada. abdelaale@agr.gc.ca

Wheat grain is recognized as a good source of potentially health-enhancing 
components such as dietary fiber, phenolics, tocopherols, and carotenoids. 
Anthocyanins, another group of bioactive compounds, are found in blue and purple 
wheat grains. In the present study, a blue aleurone spring wheat line ""Purendo 
38"" with relatively high content of total anthocyanins was used to investigate 
the composition and stability of anthocyanins over three crop years. Commercial 
cultivars of purple (Konini) and red (Katepwa) wheats were included in the 
study. Separation of anthocyanins by high-performance liquid chromatography 
(HPLC) showed that each wheat had a distinct anthocyanin profile. Four major 
anthocyanins were separated from blue wheat extracts as compared to five 
anthocyanins in purple wheat. Cyanidin 3-glucoside was the predominant 
anthocyanin in purple wheat, whereas it was the second major anthocyanin in blue 
wheat. The predominant anthocyanin in blue wheat, making up approximately 41% of 
the total anthocyanin content, remains to be structurally unidentified. Blue 
wheat anthocyanins were thermally most stable at pH 1. Their degradation was 
slightly lower at pH 3 as compared to pH 5. Increasing the temperature from 65 
to 95 degrees C increased degradation of blue wheat anthocyanins. Addition of 
SO(2) during heating of blue wheat had a stabilizing effect on anthocyanin 
pigments. The optimal SO(2) concentrations were 500-1000 ppm for whole meals and 
1000-3000 ppm for isolated anthocyanins. Further studies are underway to 
identify and verify individual anthocyanins in blue wheat and their potential 
end uses.

DOI: 10.1021/jf021043x
PMID: 12670152 [Indexed for MEDLINE]"
458,"Abdel-Aal E.-S. M., Young C., Rabalski I.",2006,"Anthocyanin composition in black, blue, pink, purple, and red cereal grains",ABDEL-AAL 2006,Journal of Agricultural and Food Chemistry,54,,4696-4704,2006-04-09 12:07:36 UTC,2015-04-14 04:25:31 UTC      ,"1. Food Res Int. 2018 Jul;109:232-249. doi: 10.1016/j.foodres.2018.04.015. Epub 
2018 Apr 16.

Anthocyanins in cereals: Composition and health effects.

Zhu F(1).

Author information:
(1)School of Chemical Sciences, University of Auckland, Private Bag 92019, 
Auckland 1142, New Zealand. Electronic address: fzhu5@yahoo.com.

Coloured (black, purple, blue, pink, red, and brown) cereal grains have gained 
much attention recently due to attractive nutritional values. A major type of 
pigments responsible for the colours as well as the health benefits of the 
cereals are anthocyanins. Focusing on the recent updates, this review summarises 
the chemical composition of the anthocyanins in diverse cereals including maize, 
rice, wheat, barley, sorghum, millet, and rye. There is a great diversity in 
anthocyanin composition among various cereals. Special cereal genotypes with 
much enhanced anthocyanin content (e.g., endosperm of rice kernels rich in 
anthocyanins) have been developed by genetic means. The coloured cereals as 
potential ingredients for functional food production have been subjected to 
extensive research for health benefits. Both in vitro and in vivo studies on the 
health effects of the anthocyanins from the cereals have been summarised. The 
claimed health benefits include anti-oxidation, anti-cancer, glycemic and 
bodyweight regulation, neuroprotection, retinal protection, hypolipidemia, 
hepatoprotection, and anti-ageing. These health effects suggest potential uses 
of the cereal anthocyanins for positive human nutrition. However, clinical and 
human studies are needed to confirm these claimed health effects.

Copyright © 2018 Elsevier Ltd. All rights reserved.

DOI: 10.1016/j.foodres.2018.04.015
PMID: 29803446 [Indexed for MEDLINE]"
332,"Abril M., Negueruela A.I., Perez C., Juan T., Estopanan G.",2005,Preliminary study of resveratrol content in Aragon red and rose wines,Apr-05,Food Chemistry,92,4,729-736,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      ,
89,"Adamson G.E., Lazarus S.A., Mitchell A.E., Prior R.L., Cao G., Jacobs P.H., Kremers B.G., Hammerstone J.F., Rucker R.B., Ritter K.A., Schmitz H.H.",1999,HPLC method for the quantification of procyanidins in cocoa and chocolate samples and correlation to total antioxidant capacity,ADAMSON 1999,Journal of Agricultural and Food Chemistry,47,10,4184-8,2003-12-05 10:41:49 UTC,2015-04-14 04:25:31 UTC      ,"1. J Agric Food Chem. 1999 Oct;47(10):4184-8. doi: 10.1021/jf990317m.

HPLC method for the quantification of procyanidins in cocoa and chocolate 
samples and correlation to total antioxidant capacity.

Adamson GE(1), Lazarus SA, Mitchell AE, Prior RL, Cao G, Jacobs PH, Kremers BG, 
Hammerstone JF, Rucker RB, Ritter KA, Schmitz HH.

Author information:
(1)Analytical and Applied Sciences Group, Mars, Incorporated, 800 High Street, 
Hackettstown, New Jersey 07840, USA.

Monomeric and oligomeric procyanidins present in cocoa liquors and chocolates 
were separated and quantified in four different laboratories using a 
normal-phase high-performance liquid chromatography (HPLC) method with 
fluorescence detection. Procyanidin standards through decamers were obtained by 
extraction from cocoa beans, enrichment by Sephadex LH-20 gel permeation 
chromatography, and final purification by preparative normal-phase HPLC. The 
purity of each oligomeric fraction was assessed using HPLC coupled to mass 
spectrometry. A composite standard was then prepared, and calibration curves 
were generated for each oligomeric class using a quadratic fit of area sum 
versus concentration. Results obtained by each of the laboratories were in close 
agreement, which suggests this method is reliable and reproducible for 
quantification of procyanidins. Furthermore, the procyanidin content of the 
samples was correlated to the antioxidant capacity measured using the ORAC assay 
as an indicator for potential biological activity.

DOI: 10.1021/jf990317m
PMID: 10552788 [Indexed for MEDLINE]"
1283,"Adefegha S.A., Oboh G.",2011,Enhancement of total phenolics and antioxidant properties of some tropical green leafy vegetables by steam cooking,ADEFEGHA 2011,Journal of Food Processing and Preservation,35,5,615-622,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      ,
1122,"Adlercreutz H., Honjo H., Higashi A., Fotsis T., Hamalainen E., Hasegawa T., Okada H.",1991,Urinary excretion of lignans and isoflavonoid phytoestrogens in Japanese men and women consuming a traditional Japanese diet,ADLERCREUTZ 1991,Am J Clin Nutr,54,6,1093-100,2011-04-06 23:30:39 UTC,2015-04-14 04:25:33 UTC      ,"1. Am J Clin Nutr. 1991 Dec;54(6):1093-100. doi: 10.1093/ajcn/54.6.1093.

Urinary excretion of lignans and isoflavonoid phytoestrogens in Japanese men and 
women consuming a traditional Japanese diet.

Adlercreutz H(1), Honjo H, Higashi A, Fotsis T, Hämäläinen E, Hasegawa T, Okada 
H.

Author information:
(1)Department of Clinical Chemistry, University of Helsinki, Meilahti Hospital, 
Finland.

Epidemiologic studies revealed low mortality in hormone-dependent cancer in 
Japanese women and men consuming a traditional diet. We previously found that 
certain diphenolic food components, lignans and isoflavonoids, which are 
converted to biologically active hormone-like substances by intestinal 
microflora, may be cancer-protective agents. Therefore, we studied urinary 
excretion of these compounds (enterolactone, enterodiol, daidzein, equol, and 
O-desmethylangolensin) in 10 women and 9 men in a rural village south of Kyoto, 
Japan. The subjects consumed a typical low-fat diet with much rice and soy 
products, fish, and vegetables. An isotope-dilution gas chromatographic-mass 
spectrometric method was used for the assays. The urinary excretion of lignans 
was low but that of the isoflavonoids was very high. The excretion of 
isoflavonoids correlated with soybean-product intake. The low mortality in 
breast and prostate cancer of Japanese women and men, respectively, may be due 
to the high intake of soybean products.

DOI: 10.1093/ajcn/54.6.1093
PMID: 1659780 [Indexed for MEDLINE]"
444,"Adom K.K., Liu R.H.",2002,Antioxidant activity of grains,ADOM 2002,Journal of Agricultural and Food Chemistry,50,,6182-6187,2006-04-08 15:42:02 UTC,2015-04-14 04:25:33 UTC      ,
445,"Adom K.K., Sorrells M.E., Liu R.H.",2005,Phytochemicals and antioxidant activity of milled fractions of different wheat varieties,ADOM 2005,Journal of Agricultural and Food Chemistry,53,,2297-2306,2006-07-08 11:08:15 UTC,2015-04-14 04:25:34 UTC      ,"1. J Agric Food Chem. 2005 Mar 23;53(6):2297-306. doi: 10.1021/jf048456d.

Phytochemicals and antioxidant activity of milled fractions of different wheat 
varieties.

Adom KK(1), Sorrells ME, Liu RH.

Author information:
(1)Department of Food Science, Cornell University, Ithaca, New York 14853-7201, 
USA.

The health-promoting effects of whole-grain consumption have been attributed in 
part to their unique phytochemical contents and profiles that complement those 
found in fruits and vegetables. Wheat is an important component of the human 
diet; however, little is known about the phytochemical profiles and total 
antioxidant activities of milled fractions of different wheat varieties. The 
objectives of this study were to investigate the distribution of phytochemicals 
(total phenolics, flavonoids, ferulic acid, and carotenoids) and to determine 
hydrophilic and lipophilic antioxidant activity in milled fractions (endosperm 
and bran/germ) of three different wheat varieties, two of which were grown in 
two environments. Grain samples of each of the wheat varieties were milled into 
endosperm and bran/germ fractions. Each fraction was extracted and analyzed for 
total phenolics, ferulic acid, flavonoids, carotenoid contents, and hydrophilic 
and lipophilic antioxidant activities. Total phenolic content of bran/germ 
fractions (2867-3120 micromol of gallic acid equiv/100 g) was 15-18-fold higher 
(p < 0.01) than that of respective endosperm fractions. Ferulic acid content 
ranged from 1005 to 1130 micromol/100 g in bran/germ fractions and from 15 to 21 
micromol/100 g in the endosperm fractions. The bran/germ fraction flavonoid 
content was 740-940 micromol of catechin equiv/100 g. On average, bran/germ 
fractions of wheat had 4-fold more lutein, 12-fold more zeaxanthin, and 2-fold 
more beta-cryptoxanthin than the endosperm fractions. Hydrophilic antioxidant 
activity of bran/germ samples (7.1-16.4 micromol of vitamin C equiv/g) was 
13-27-fold higher than that of the respective endosperm samples. Similarly, 
lipophilic antioxidant activity was 28-89-fold higher in the bran/germ fractions 
(1785-4669 nmol of vitamin E equiv/g). Hydrophilic antioxidant activity 
contribution to the total antioxidant activity (hydrophilic + lipophilic) was 
>80%. In whole-wheat flour, the bran/germ fraction contributed 83% of the total 
phenolic content, 79% of the total flavonoid content, 51% of the total lutein, 
78% of the total zeaxanthin, 42% of the total beta-cryptoxanthin, 85% of the 
total hydrophilic antioxidant activity, and 94% of the total lipophilic 
antioxidant activity. Our results showed that different milled fractions of 
wheat have different profiles of both hydrophilic and lipophilic phytochemicals. 
These findings provide information necessary for evaluating contributions to 
good health and disease prevention from whole-wheat consumption.

DOI: 10.1021/jf048456d
PMID: 15769171 [Indexed for MEDLINE]"
