id,authors,year_of_publication,title,abbreviation,journal_name,journal_volume,journal_issue,pages,created_at,updated_at      ,pmid,abstract
1216,"Aaby K., Wrolstad R.E., Ekeberg D., Skrede G.",2007,Polyphenol composition and antioxidant activity in strawberry purees  impact of achene level and storage,AABY 2007,Journal of Agricultural and Food Chemistry,55,13,5156-5166,2012-12-01 22:21:08 UTC,2015-04-14 04:25:30 UTC     ,17550269.0,"1. J Agric Food Chem. 2007 Jun 27;55(13):5156-66. doi: 10.1021/jf070467u. Epub
2007  Jun 6.

Polyphenol composition and antioxidant activity in strawberry purees; impact of 
achene level and storage.

Aaby K(1), Wrolstad RE, Ekeberg D, Skrede G.

Author information:
(1)Matforsk AS, Norwegian Food Research Institute, Osloveien 1, N-1430 Aas, 
Norway. kjersti.aaby@matforsk.no

In this study the impact of achenes on polyphenolic compounds, ascorbic acids, 
and antioxidant activities in strawberry purees at production and after storage 
at 6 and 22 degrees C for 8 and 16 weeks was investigated. Strawberry purees 
were made from flesh, berry, and achene-enriched homogenate and contained 0, 
1.2, and 2.9% achenes, respectively. At production, strawberry purees made from 
flesh contained more anthocyanins, p-coumaroyl glycosides, and ascorbic acids, 
whereas increasing achene levels caused increasing levels of ellagic acid 
derivatives, proanthocyanidins, flavonols, total phenolics (TP), and antioxidant 
activities. In addition, the anthocyanins, TP, and ferric reducing ability power 
(FRAP) in purees with more achenes were better retained during storage. Ascorbic 
acids and anthocyanins declined rapidly during storage, whereas other 
polyphenols and antioxidant activities were more stable; that is, the 
contributions from anthocyanins and ascorbic acids to TP and antioxidant 
activities decreased. The findings that achenes contributed significantly to 
polyphenol content and stability of strawberry purees may be interesting in a 
nutritional and, thus, commercial, perspective.

DOI: 10.1021/jf070467u
PMID: 17550269 [Indexed for MEDLINE]"
1052,"Abd El Mohsen M.M., Kuhnle G., Rechner A.R., Schroeter H., Rose S., Jenner P., Rice-Evans C.A.",2002,Uptake and metabolism of epicatechin and its access to the brain after oral ingestion,ABD EL MOHSEN 2002,Free Radic Biol Med,33,12,1693-702,2015-04-13 21:45:29 UTC,2015-04-14 04:25:30 UTC      ,12488137.0,"1. Free Radic Biol Med. 2002 Dec 15;33(12):1693-702. doi: 
10.1016/s0891-5849(02)01137-1.

Uptake and metabolism of epicatechin and its access to the brain after oral 
ingestion.

Abd El Mohsen MM(1), Kuhnle G, Rechner AR, Schroeter H, Rose S, Jenner P, 
Rice-Evans CA.

Author information:
(1)Antioxidant Research Group, Wolfson Centre for Age-Related Diseases, GKT 
School of Biomedical Sciences, King's College, London, England, UK.

Epicatechin is a flavan-3-ol that is commonly present in green teas, red wine, 
cocoa products, and many fruits, such as apples. There is considerable interest 
in the bioavailability of epicatechin after oral ingestion. In vivo studies have 
shown that low levels of epicatechin are absorbed and found in the circulation 
as glucuronides, methylated and sulfated forms. Recent research has demonstrated 
protective effects of epicatechin and one of its in vivo metabolites, 
3'-O-methyl epicatechin, against neuronal cell death induced by oxidative 
stress. Thus, we are interested in the ability of ingested epicatechin to cross 
the blood brain barrier and target the brain. Rats were administered 100 mg/kg 
body weight/d epicatechin orally for 1, 5, and 10 d. Plasma and brain extracts 
were analyzed by HPLC with photodiode array detection and LC-MS/MS. This study 
reports the presence of the epicatechin glucuronide and 3'-O-methyl epicatechin 
glucuronide formed after oral ingestion in the rat brain tissue.

DOI: 10.1016/s0891-5849(02)01137-1
PMID: 12488137 [Indexed for MEDLINE]"
356,"Abdel-Aal E.-S.M., Hucl P.",2003,Composition and stability of anthocyanins in blue-grained wheat,ABDEL-AAL 2003,Journal of Agricultural and Food Chemistry,51,,2174-2180,2015-04-13 21:45:25 UTC,2015-04-14 04:25:30 UTC      ,12670152.0,"1. J Agric Food Chem. 2003 Apr 9;51(8):2174-80. doi: 10.1021/jf021043x.

Composition and stability of anthocyanins in blue-grained wheat.

Abdel-Aal el-SM(1), Hucl P.

Author information:
(1)Food Research Program, Agriculture and Agri-Food Canada, Guelph, Ontario, 
Canada. abdelaale@agr.gc.ca

Wheat grain is recognized as a good source of potentially health-enhancing 
components such as dietary fiber, phenolics, tocopherols, and carotenoids. 
Anthocyanins, another group of bioactive compounds, are found in blue and purple 
wheat grains. In the present study, a blue aleurone spring wheat line ""Purendo 
38"" with relatively high content of total anthocyanins was used to investigate 
the composition and stability of anthocyanins over three crop years. Commercial 
cultivars of purple (Konini) and red (Katepwa) wheats were included in the 
study. Separation of anthocyanins by high-performance liquid chromatography 
(HPLC) showed that each wheat had a distinct anthocyanin profile. Four major 
anthocyanins were separated from blue wheat extracts as compared to five 
anthocyanins in purple wheat. Cyanidin 3-glucoside was the predominant 
anthocyanin in purple wheat, whereas it was the second major anthocyanin in blue 
wheat. The predominant anthocyanin in blue wheat, making up approximately 41% of 
the total anthocyanin content, remains to be structurally unidentified. Blue 
wheat anthocyanins were thermally most stable at pH 1. Their degradation was 
slightly lower at pH 3 as compared to pH 5. Increasing the temperature from 65 
to 95 degrees C increased degradation of blue wheat anthocyanins. Addition of 
SO(2) during heating of blue wheat had a stabilizing effect on anthocyanin 
pigments. The optimal SO(2) concentrations were 500-1000 ppm for whole meals and 
1000-3000 ppm for isolated anthocyanins. Further studies are underway to 
identify and verify individual anthocyanins in blue wheat and their potential 
end uses.

DOI: 10.1021/jf021043x
PMID: 12670152 [Indexed for MEDLINE]"
458,"Abdel-Aal E.-S. M., Young C., Rabalski I.",2006,"Anthocyanin composition in black, blue, pink, purple, and red cereal grains",ABDEL-AAL 2006,Journal of Agricultural and Food Chemistry,54,,4696-4704,2006-04-09 12:07:36 UTC,2015-04-14 04:25:31 UTC      ,16787017.0,"1. J Agric Food Chem. 2006 Jun 28;54(13):4696-704. doi: 10.1021/jf0606609.

Anthocyanin composition in black, blue, pink, purple, and red cereal grains.

Abdel-Aal el-SM(1), Young JC, Rabalski I.

Author information:
(1)Food Research Program, Agriculture and Agri-Food Canada, 93 Stone Road West, 
Guelph, Ontario, Canada N1G 5C9. abdelaale@agr.gc.ca

Anthocyanin pigments from a wide variety of edible and ornamental black, blue, 
pink, purple, red, and white wheat, barley, corn, rice, and wild rice were 
identified and quantified to evaluate their potential as natural colorants or 
functional food ingredients. The total anthocyanin contents varied significantly 
and exhibited a range of 7-3276 microg/g. Some grains, such as red rice and 
black rice, contained a limited number of pigments, whereas others, such as 
blue, pink, purple, and red corns, had complex anthocyanin profiles. Of the 42 
anthocyanin compounds observed, 9 were characterized by comparison of the 
spectroscopic and chromatographic properties with those of authentic standards. 
The remaining compounds were tentatively identified on the basis of 
spectroscopic properties and electrospray ionization mass spectra. The most 
abundant anthocyanins were cyanidin 3-glucoside in black and red rices and in 
blue, purple, and red corns, pelargonidin 3-glucoside in pink corn, and 
delphinidin 3-glucoside in blue wheat.

DOI: 10.1021/jf0606609
PMID: 16787017 [Indexed for MEDLINE]"
332,"Abril M., Negueruela A.I., Perez C., Juan T., Estopanan G.",2005,Preliminary study of resveratrol content in Aragon red and rose wines,Apr-05,Food Chemistry,92,4,729-736,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      ,,"A survey of resveratrol content in wines of the four Aragón designations of origin (Borja, Cariñena, Calatayud and Somontano) was carried out. Concentrations of trans- and cis-resveratrol isomers of 98 commercial wines of the four designations of origin, from several vintages, were analyzed by means of reverse-phase high-performance liquid chromatography. Concentration of trans-resveratrol ranged from 0.32 to 4.44 mg/l in red wines and from 0.12 to 2.80 mg/l in rosé wines. cis-Resveratrol levels ranged from 0.20 to 5.84 mg/l in red wines and from 0.02 to 3.17 mg/l in rosé wines. The grape variety influenced resveratrol contents in wines from the different regions. The highest trans/cis ratios were found in Somontano (4.50) and Calatayud wines (2.90), both of the Tempranillo variety. However, a discriminant analysis applied to the concentrations did not show significant differences between young red wines nor between rosé wines of the four designations of origin. © 2004 Elsevier Ltd. All rights reserved."
89,"Adamson G.E., Lazarus S.A., Mitchell A.E., Prior R.L., Cao G., Jacobs P.H., Kremers B.G., Hammerstone J.F., Rucker R.B., Ritter K.A., Schmitz H.H.",1999,HPLC method for the quantification of procyanidins in cocoa and chocolate samples and correlation to total antioxidant capacity,ADAMSON 1999,Journal of Agricultural and Food Chemistry,47,10,4184-8,2003-12-05 10:41:49 UTC,2015-04-14 04:25:31 UTC      ,10552788.0,"1. J Agric Food Chem. 1999 Oct;47(10):4184-8. doi: 10.1021/jf990317m.

HPLC method for the quantification of procyanidins in cocoa and chocolate 
samples and correlation to total antioxidant capacity.

Adamson GE(1), Lazarus SA, Mitchell AE, Prior RL, Cao G, Jacobs PH, Kremers BG, 
Hammerstone JF, Rucker RB, Ritter KA, Schmitz HH.

Author information:
(1)Analytical and Applied Sciences Group, Mars, Incorporated, 800 High Street, 
Hackettstown, New Jersey 07840, USA.

Monomeric and oligomeric procyanidins present in cocoa liquors and chocolates 
were separated and quantified in four different laboratories using a 
normal-phase high-performance liquid chromatography (HPLC) method with 
fluorescence detection. Procyanidin standards through decamers were obtained by 
extraction from cocoa beans, enrichment by Sephadex LH-20 gel permeation 
chromatography, and final purification by preparative normal-phase HPLC. The 
purity of each oligomeric fraction was assessed using HPLC coupled to mass 
spectrometry. A composite standard was then prepared, and calibration curves 
were generated for each oligomeric class using a quadratic fit of area sum 
versus concentration. Results obtained by each of the laboratories were in close 
agreement, which suggests this method is reliable and reproducible for 
quantification of procyanidins. Furthermore, the procyanidin content of the 
samples was correlated to the antioxidant capacity measured using the ORAC assay 
as an indicator for potential biological activity.

DOI: 10.1021/jf990317m
PMID: 10552788 [Indexed for MEDLINE]"
1283,"Adefegha S.A., Oboh G.",2011,Enhancement of total phenolics and antioxidant properties of some tropical green leafy vegetables by steam cooking,ADEFEGHA 2011,Journal of Food Processing and Preservation,35,5,615-622,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      ,,"This study sought to evaluate the effect of steam cooking on the vitamin C, total phenolics, total flavonoid and antioxidant properties (1,1-diphenyl-2-picrylhydrazyl [DPPH] free radical and 2,2-azinobis(3-ethylbenzo-thiazoline-6-sulfonate) [ABTS*] radical scavenging abilities, reducing property and Fe2+ chelating ability) of some tropical green leafy vegetables: Talinum triangulare, Ocimum gratissimum, Amaranthus hybridus, Telfairia occidentalis, Ipomea batata, Cnidoscolus aconitifolius, Baselia alba and Senecio biafrae leaves. The results of the study revealed that cooking causes a significant (P<0.05) decrease in the vitamin C (raw [321.4-842.0], cooked [198.2-638.4mg/100g]) content. Conversely, there was a significant (P<0.05) increase in the total phenol (raw [146.9-693.8], cooked [272.9-1037.5mg/100g]), total flavonoid (raw [8.2-53.0], cooked [12.9-57.4mg/100g]), DPPH radical scavenging ability (raw [15.7-61.8], cooked [52.8-92.7%]), reducing property (raw: 28.3-61.8; cooked: 43.9-71.6mg/100 g ascorbic acid equivalent [AAE]), Fe2+ chelating ability (raw [17.4-75.4], cooked [22.8-89.2%]) and ABTS* scavenging ability (raw [17.4-87.3], cooked [57.5-113.2mmol/100g trolox equivalent antioxidant capacity]). In view of this, it could be concluded that steam cooking decreases the vitamin C content of all the vegetables, while it increased the phenolic content and antioxidant activities. Practical Applications: Consumption of fruits and vegetables has been known to be a practical approach toward the prevention and management of several degenerative diseases. Most green leafy vegetables are not eaten in their unprocessed form but are rather cooked by steaming before consumption in tropical Africa. It is well reported that vitamin C is lost during the cooking of vegetables, but recently, phenolics have been shown to be the main phytochemicals present in foods and that they play crucial roles in the management of several degenerative diseases. Cooking is an indispensable prerequisite in order to obtain safe and high-quality food products. Cooked vegetables have much better hygienic quality, and due to chemical reactions during cooking, they become more digestible and have an increased nutritional value. However, steam cooking may affect the antioxidant status of tropical green leafy vegetables due to the release of more phenolic compounds and destruction or creation of redox-active metabolites. © 2011 Wiley Periodicals, Inc."
1122,"Adlercreutz H., Honjo H., Higashi A., Fotsis T., Hamalainen E., Hasegawa T., Okada H.",1991,Urinary excretion of lignans and isoflavonoid phytoestrogens in Japanese men and women consuming a traditional Japanese diet,ADLERCREUTZ 1991,Am J Clin Nutr,54,6,1093-100,2011-04-06 23:30:39 UTC,2015-04-14 04:25:33 UTC      ,1659780.0,"1. Am J Clin Nutr. 1991 Dec;54(6):1093-100. doi: 10.1093/ajcn/54.6.1093.

Urinary excretion of lignans and isoflavonoid phytoestrogens in Japanese men and 
women consuming a traditional Japanese diet.

Adlercreutz H(1), Honjo H, Higashi A, Fotsis T, Hämäläinen E, Hasegawa T, Okada 
H.

Author information:
(1)Department of Clinical Chemistry, University of Helsinki, Meilahti Hospital, 
Finland.

Epidemiologic studies revealed low mortality in hormone-dependent cancer in 
Japanese women and men consuming a traditional diet. We previously found that 
certain diphenolic food components, lignans and isoflavonoids, which are 
converted to biologically active hormone-like substances by intestinal 
microflora, may be cancer-protective agents. Therefore, we studied urinary 
excretion of these compounds (enterolactone, enterodiol, daidzein, equol, and 
O-desmethylangolensin) in 10 women and 9 men in a rural village south of Kyoto, 
Japan. The subjects consumed a typical low-fat diet with much rice and soy 
products, fish, and vegetables. An isotope-dilution gas chromatographic-mass 
spectrometric method was used for the assays. The urinary excretion of lignans 
was low but that of the isoflavonoids was very high. The excretion of 
isoflavonoids correlated with soybean-product intake. The low mortality in 
breast and prostate cancer of Japanese women and men, respectively, may be due 
to the high intake of soybean products.

DOI: 10.1093/ajcn/54.6.1093
PMID: 1659780 [Indexed for MEDLINE]"
444,"Adom K.K., Liu R.H.",2002,Antioxidant activity of grains,ADOM 2002,Journal of Agricultural and Food Chemistry,50,,6182-6187,2006-04-08 15:42:02 UTC,2015-04-14 04:25:33 UTC      ,39811928.0,"1. J Agric Food Chem. 2025 Jan 15;73(2):1725-1738. doi: 10.1021/acs.jafc.4c08975.
 Epub 2024 Dec 30.

Dynamic Metabolomic Changes in the Phenolic Compound Profile and Antioxidant 
Activity in Developmental Sorghum Grains.

D'almeida CTDS(1)(2), Morel MH(3), Terrier N(4), Mameri H(3), Simões Larraz 
Ferreira M(1)(2).

Author information:
(1)Laboratory of Bioactives (LABBIO), Food and Nutrition Graduate Program 
(PPGAN), Federal University of the State of Rio de Janeiro (UNIRIO), Rio de 
Janeiro 22290-240, Brazil.
(2)Center of Innovation in Mass Spectrometry, Laboratory of Protein 
Biochemistry, UNIRIO, Rio de Janeiro 22290-240, Brazil.
(3)UMR 1208 IATE, Univ Montpellier, INRAE, L'Institut-Agro Montpellier, 
Montpellier F-34060, France.
(4)AGAP Institute, Univ. Montpellier, INRAE, CIRAD, Montpellier F-34398, France.

Phenolic compounds (PC) were analyzed by UHPLC-ESI-QTOF-MSE in two sorghum 
genotypes, harvested in two growing seasons (GS) at five distinct days after 
flowering (DAF) to evaluate how genotype/GS influences the PC synthesis and 
antioxidant capacity during grain growth. Total phenolic contents were strongly 
correlated with antioxidant capacity (r > 0.9, p < 0.05). Globally, 97 PC were 
annotated, including 20 PC found irrespective of the grain developmental stage 
and genotype/GS. The phenolic profile clearly differs between stages: phenolic 
acids were the most abundant class in early stages (50%), and flavonoid 
accumulation becomes predominant in late ones (3/5 of total ion abundance). 
Dimeric and trimeric tannins were identified even in 10DAF grains. Chemometry 
revealed great PC variability between genotypes (27%) and important biomarkers 
of GS differentiation (e.g., ferulic acid). This work can input open databases 
of PC and paves the way to understand biosynthetic pathways of PC in sorghum and 
future sorghum selection.

DOI: 10.1021/acs.jafc.4c08975
PMCID: PMC11741113
PMID: 39811928 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing financial 
interest."
445,"Adom K.K., Sorrells M.E., Liu R.H.",2005,Phytochemicals and antioxidant activity of milled fractions of different wheat varieties,ADOM 2005,Journal of Agricultural and Food Chemistry,53,,2297-2306,2006-07-08 11:08:15 UTC,2015-04-14 04:25:34 UTC      ,15769171.0,"1. J Agric Food Chem. 2005 Mar 23;53(6):2297-306. doi: 10.1021/jf048456d.

Phytochemicals and antioxidant activity of milled fractions of different wheat 
varieties.

Adom KK(1), Sorrells ME, Liu RH.

Author information:
(1)Department of Food Science, Cornell University, Ithaca, New York 14853-7201, 
USA.

The health-promoting effects of whole-grain consumption have been attributed in 
part to their unique phytochemical contents and profiles that complement those 
found in fruits and vegetables. Wheat is an important component of the human 
diet; however, little is known about the phytochemical profiles and total 
antioxidant activities of milled fractions of different wheat varieties. The 
objectives of this study were to investigate the distribution of phytochemicals 
(total phenolics, flavonoids, ferulic acid, and carotenoids) and to determine 
hydrophilic and lipophilic antioxidant activity in milled fractions (endosperm 
and bran/germ) of three different wheat varieties, two of which were grown in 
two environments. Grain samples of each of the wheat varieties were milled into 
endosperm and bran/germ fractions. Each fraction was extracted and analyzed for 
total phenolics, ferulic acid, flavonoids, carotenoid contents, and hydrophilic 
and lipophilic antioxidant activities. Total phenolic content of bran/germ 
fractions (2867-3120 micromol of gallic acid equiv/100 g) was 15-18-fold higher 
(p < 0.01) than that of respective endosperm fractions. Ferulic acid content 
ranged from 1005 to 1130 micromol/100 g in bran/germ fractions and from 15 to 21 
micromol/100 g in the endosperm fractions. The bran/germ fraction flavonoid 
content was 740-940 micromol of catechin equiv/100 g. On average, bran/germ 
fractions of wheat had 4-fold more lutein, 12-fold more zeaxanthin, and 2-fold 
more beta-cryptoxanthin than the endosperm fractions. Hydrophilic antioxidant 
activity of bran/germ samples (7.1-16.4 micromol of vitamin C equiv/g) was 
13-27-fold higher than that of the respective endosperm samples. Similarly, 
lipophilic antioxidant activity was 28-89-fold higher in the bran/germ fractions 
(1785-4669 nmol of vitamin E equiv/g). Hydrophilic antioxidant activity 
contribution to the total antioxidant activity (hydrophilic + lipophilic) was 
>80%. In whole-wheat flour, the bran/germ fraction contributed 83% of the total 
phenolic content, 79% of the total flavonoid content, 51% of the total lutein, 
78% of the total zeaxanthin, 42% of the total beta-cryptoxanthin, 85% of the 
total hydrophilic antioxidant activity, and 94% of the total lipophilic 
antioxidant activity. Our results showed that different milled fractions of 
wheat have different profiles of both hydrophilic and lipophilic phytochemicals. 
These findings provide information necessary for evaluating contributions to 
good health and disease prevention from whole-wheat consumption.

DOI: 10.1021/jf048456d
PMID: 15769171 [Indexed for MEDLINE]"
